Param: fileName,Line Count
StopwatchTest.java,1154
TempFolderRuleTest.java,1381
Test.java,106
TestWatchman.java,177
JUnit4Builder.java,69
TestMethodTest.java,918
OldTestClassAdaptingListenerTest.java,183
Guesser.java,657
CategoryValidatorTest.java,507
InheritedTestTest.java,179
GuesserQueue.java,255
ExactComparisonCriteria.java,45
FailOnTimeout.java,1136
RunListener.java,175
AllMembersSupplierTest.java,1056
JUnit4TestAdapterCache.java,431
BeforeClass.java,62
PublicClassValidatorTest.java,201
TheoriesPerformanceTest.java,215
AnnotationValidatorFactoryTest.java,334
Super.java,32
RunBefores.java,134
WithAutoGeneratedDataPoints.java,339
ParametersRunnerFactory.java,44
StubbedTheoriesTest.java,98
ListenerTest.java,176
AnnotatedDescriptionTest.java,433
TestClassValidator.java,42
Sub.java,19
FrameworkField.java,265
PrintableResultTest.java,332
Result.java,878
ExpectedTest.java,400
FilterableTest.java,304
Filterable.java,24
MainRunner.java,1153
JUnitMatchers.java,379
MethodValidator.java,553
ValidationError.java,84
FilterFactoryParams.java,85
CategoryValidator.java,319
Assume.java,304
ResultMatchersTest.java,136
TestRule.java,43
Assert.java,2221
Protectable.java,20
Theory.java,74
ExcludeCategories.java,167
ResultTest.java,641
ForwardCompatibilityTest.java,1281
FrameworkMember.java,153
TestWithParameters.java,353
FrameworkMethod.java,737
WithDataPointMethod.java,599
RunnerBuilderStub.java,60
MoneyTest.java,1285
Timeout.java,450
SuiteMethodBuilder.java,118
OldTests.java,66
MethodRoadie.java,856
FilterTest.java,266
OverrideTestCase.java,24
Parameterized.java,924
AllMembersSupplier.java,1230
FrameworkMethodTest.java,346
Theories.java,1441
JavadocTest.java,429
DataPoints.java,108
RunnerSpy.java,129
TestSuite.java,1212
MethodSorters.java,95
TestWatchmanTest.java,332
MultipleFailureExceptionTest.java,413
BlockJUnit4ClassRunnerWithParametersFactory.java,55
ParameterizedNamesTest.java,265
AnnotationsValidator.java,577
Annotatable.java,46
SuiteDescriptionTest.java,251
RunRules.java,127
RunAfters.java,210
JUnit38SortingTest.java,282
WithUnresolvedGenericTypeVariablesOnTheoryParms.java,1047
BlockJUnit4ClassRunnerOverrideTest.java,504
Category.java,78
ParentRunnerTest.java,1335
ParameterizedAssertionErrorTest.java,544
JUnit38ClassRunnerTest.java,819
ValidateWith.java,60
JUnit3Builder.java,108
BaseTestRunner.java,1457
StacktracePrintingMatcher.java,265
IMoney.java,65
Fail.java,61
RunnerScheduler.java,27
JUnit38ClassRunner.java,1078
AllTestsTest.java,463
TextFeedbackTest.java,714
ResultPrinter.java,668
ParentRunnerFilteringTest.java,990
TestTimedOutException.java,109
StacktracePrintingMatcherTest.java,244
ParameterSignatureTest.java,575
AllDefaultPossibilitiesBuilder.java,228
Success.java,38
ErrorReportingRunnerTest.java,62
TypeSafeMatcher.java,257
JUnitCoreTest.java,130
InheritedTestCase.java,22
InexactComparisonCriteria.java,115
TestedOnSupplier.java,144
TextListener.java,533
FilterRequest.java,172
